close_time,daily_pnl,cum_pnl
2026-01-05,85.61999999999999,85.61999999999999
2026-01-06,-61.83,23.789999999999992
2026-01-07,-64.69000000000001,-40.90000000000002
2026-01-08,-48.95,-89.85000000000002
2026-01-09,-0.17,-90.02000000000002
2026-01-10,0.0,-90.02000000000002
2026-01-11,0.0,-90.02000000000002
2026-01-12,380.8,290.78
2026-01-13,-134.17,156.60999999999999
2026-01-14,65.9,222.51
2026-01-15,-130.47,92.03999999999999
2026-01-16,-10.7,81.33999999999999
2026-01-17,0.0,81.33999999999999
2026-01-18,0.0,81.33999999999999
2026-01-19,-182.78,-101.44000000000001
2026-01-20,86.51,-14.930000000000007
2026-01-21,16.120000000000005,1.1899999999999977
2026-01-22,-243.25,-242.06
2026-01-23,-67.38,-309.44
2026-01-24,0.0,-309.44
2026-01-25,0.0,-309.44
2026-01-26,465.11,155.67000000000002
2026-01-27,-1.4299999999999784,154.24000000000004
2026-01-28,580.72,734.96
2026-01-29,-655.47,79.49000000000001
2026-01-30,-326.9,-247.40999999999997
2026-01-31,0.0,-247.40999999999997
2026-02-01,0.0,-247.40999999999997
2026-02-02,0.0,-247.40999999999997
2026-02-03,447.03,199.62
2026-02-04,533.68,733.3
2026-02-05,-354.43,378.86999999999995
2026-02-06,-563.19,-184.3200000000001
2026-02-07,0.0,-184.3200000000001
2026-02-08,0.0,-184.3200000000001
2026-02-09,241.38,57.05999999999989
2026-02-10,123.99000000000001,181.0499999999999
2026-02-11,111.97,293.01999999999987
2026-02-12,-190.67000000000002,102.34999999999985
2026-02-13,-530.6,-428.25000000000017
2026-02-14,0.0,-428.25000000000017
2026-02-15,0.0,-428.25000000000017
2026-02-16,-149.54999999999998,-577.8000000000002
2026-02-17,70.7,-507.1000000000002
2026-02-18,0.0,-507.1000000000002
2026-02-19,445.3,-61.80000000000018
2026-02-20,-67.5,-129.30000000000018
2026-02-21,0.0,-129.30000000000018
2026-02-22,0.0,-129.30000000000018
2026-02-23,1518.2,1388.8999999999999
2026-02-24,-656.6600000000001,732.2399999999998
2026-02-25,-317.33,414.9099999999998
2026-02-26,37.540000000000006,452.4499999999998
2026-02-27,329.27,781.7199999999998
2026-02-28,0.0,781.7199999999998
2026-03-01,0.0,781.7199999999998
2026-03-02,1041.1699999999998,1822.8899999999996
2026-03-03,-502.8700000000001,1320.0199999999995
2026-03-04,-151.68,1168.3399999999995
2026-03-05,-188.37,979.9699999999995
2026-03-06,-376.65999999999997,603.3099999999995
2026-03-07,0.0,603.3099999999995
2026-03-08,0.0,603.3099999999995
2026-03-09,-296.76,306.5499999999995
2026-03-10,246.82999999999998,553.3799999999994
2026-03-11,290.42,843.7999999999995
2026-03-12,113.06,956.8599999999994
2026-03-13,-159.65000000000003,797.2099999999994
2026-03-14,0.0,797.2099999999994
2026-03-15,0.0,797.2099999999994
2026-03-16,87.19,884.3999999999994
2026-03-17,-173.84,710.5599999999994
2026-03-18,177.18,887.7399999999993
2026-03-19,1335.5,2223.2399999999993
2026-03-20,-220.1,2003.1399999999994
2026-03-21,0.0,2003.1399999999994
2026-03-22,0.0,2003.1399999999994
2026-03-23,-83.66,1919.4799999999993
2026-03-24,-243.82,1675.6599999999994
2026-03-25,-539.69,1135.9699999999993
2026-03-26,618.53,1754.4999999999993
2026-03-27,365.03,2119.5299999999993
2026-03-28,0.0,2119.5299999999993
2026-03-29,0.0,2119.5299999999993
2026-03-30,-1182.6200000000001,936.9099999999992
2026-03-31,425.55,1362.4599999999991
2026-04-01,75.17,1437.6299999999992
2026-04-02,951.76,2389.3899999999994
2026-04-03,0.0,2389.3899999999994
2026-04-04,0.0,2389.3899999999994
2026-04-05,0.0,2389.3899999999994
2026-04-06,421.78999999999996,2811.1799999999994
2026-04-07,-317.53999999999996,2493.6399999999994
2026-04-08,798.5600000000001,3292.1999999999994
2026-04-09,-652.1,2640.0999999999995
2026-04-10,-176.86,2463.2399999999993
2026-04-11,0.0,2463.2399999999993
2026-04-12,0.0,2463.2399999999993
2026-04-13,-408.28000000000003,2054.959999999999
2026-04-14,174.01000000000002,2228.9699999999993
2026-04-15,600.54,2829.5099999999993
